"","x"
"1",0.0842640293522289
"2",0.0842640293522289
"3",0.0842640293522289
"4",0.0842640293522289
"5",0.0842640293522289
"6",0.0842640293522289
"7",0.0842640293522289
"8",0.0842640293522289
"9",0.0842640293522289
"10",0.0842640293522289
"11",0.0842640293522289
"12",0.0830333267253514
"13",0.0830333267253514
"14",0.0830333267253514
"15",0.0830333267253514
"16",0.0830333267253514
"17",0.0796937109844005
"18",0.0796937109844005
"19",0.0816079928283688
"20",0.0816079928283688
"21",0.0879487191118078
"22",0.0879487191118078
"23",0.0879487191118078
"24",0.0807201584906634
"25",0.0807201584906634
"26",0.0807201584906634
"27",0.0807201584906634
"28",0.0819673526335117
"29",0.0819673526335117
"30",0.0819673526335117
"31",0.0819673526335117
"32",0.0933900478889631
"33",0.0933900478889631
"34",0.0915196299506762
"35",0.0910490152132183
"36",0.0910490152132183
"37",0.0910490152132183
"38",0.0910490152132183
"39",0.0910190234477581
"40",0.0910190234477581
"41",0.0910190234477581
"42",0.0910190234477581
"43",0.0910190234477581
"44",0.0910190234477581
"45",0.0910190234477581
"46",0.0867898482276667
"47",0.0858720021097766
"48",0.0858720021097766
"49",0.0858720021097766
"50",0.0858720021097766
"51",0.0871333329893911
"52",0.0902138323348465
"53",0.0902138323348465
"54",0.0902138323348465
"55",0.0839899938487948
"56",0.0839899938487948
"57",0.0839899938487948
"58",0.0839899938487948
"59",0.0859624585319413
"60",0.0859624585319413
"61",0.0859624585319413
"62",0.0859624585319413
"63",0.0859624585319413
"64",0.0859624585319413
"65",0.0859624585319413
"66",0.0859624585319413
"67",0.0859624585319413
"68",0.0859624585319413
"69",0.0845708323427932
"70",0.0817716673749525
"71",0.0817716673749525
"72",0.0817716673749525
"73",0.0817716673749525
"74",0.0817716673749525
"75",0.0817716673749525
"76",0.0817716673749525
"77",0.0817716673749525
"78",0.0817716673749525
"79",0.0817716673749525
"80",0.0817716673749525
"81",0.0817716673749525
"82",0.0817716673749525
"83",0.0817716673749525
"84",0.0817716673749525
"85",0.0817716673749525
"86",0.0817716673749525
"87",0.0869390111157423
"88",0.0869390111157423
"89",0.0869390111157423
"90",0.0869390111157423
"91",0.0869390111157423
"92",0.0869390111157423
"93",0.0869390111157423
"94",0.0869390111157423
"95",0.0869390111157423
"96",0.0869390111157423
"97",0.0869390111157423
"98",0.0869390111157423
"99",0.0869390111157423
"100",0.0845949198731419
"101",0.0847550101518862
"102",0.0847550101518862
"103",0.0847550101518862
"104",0.0847550101518862
"105",0.0847550101518862
"106",0.0851172374702069
"107",0.0836794799190765
"108",0.0840019340347699
"109",0.0840019340347699
"110",0.0885193470579052
"111",0.0885193470579052
"112",0.0885193470579052
"113",0.0882830816480848
"114",0.0895391850596835
"115",0.0887954794828411
"116",0.0887954794828411
"117",0.0887954794828411
"118",0.0887954794828411
"119",0.0855722295056456
"120",0.0855722295056456
"121",0.0855722295056456
"122",0.0855722295056456
"123",0.0855722295056456
"124",0.0921576928175867
"125",0.0921576928175867
"126",0.0921576928175867
"127",0.0921576928175867
"128",0.0919658599155708
"129",0.0919658599155708
"130",0.0919658599155708
"131",0.0919658599155708
"132",0.0919658599155708
"133",0.0919658599155708
"134",0.0919658599155708
"135",0.0919658599155708
"136",0.0919658599155708
"137",0.0919658599155708
"138",0.0935536469908318
"139",0.0886722271092168
"140",0.0886722271092168
"141",0.0886722271092168
"142",0.0898512444800575
"143",0.0873015727962521
"144",0.0860300637940743
"145",0.0849023410252488
"146",0.0849023410252488
"147",0.0847020909780032
"148",0.0879062571930668
"149",0.0879062571930668
"150",0.0879062571930668
"151",0.08120094908388
"152",0.0815399820709303
"153",0.0815399820709303
"154",0.0815399820709303
"155",0.0815399820709303
"156",0.0815399820709303
"157",0.0887005311065369
"158",0.0887005311065369
"159",0.0887005311065369
"160",0.0887005311065369
"161",0.0851835773735837
"162",0.0851835773735837
"163",0.0851835773735837
"164",0.0899290998598803
"165",0.0899290998598803
"166",0.0899290998598803
"167",0.0899290998598803
"168",0.0899290998598803
"169",0.0899290998598803
"170",0.09523747517469
"171",0.09523747517469
"172",0.09523747517469
"173",0.0902966271422943
"174",0.0902966271422943
"175",0.0889646501225293
"176",0.0832335697090958
"177",0.0832335697090958
"178",0.0909463006047334
"179",0.0909463006047334
"180",0.0909463006047334
"181",0.0909463006047334
"182",0.0909463006047334
