,prob_transmission,Run,Number_of_Patients_sick,prob_patient_sick,prob_new_patient,isolation_factor,cleaningDay,isolate_sick,isolation_time,icu_hcw_wash_rate,outside_hcw_wash_rate,height,width
0,1e-06,0,4,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
1,1e-06,1,1,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
2,1e-06,2,3,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
3,1e-06,3,1,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
4,1e-06,4,0,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
5,1e-06,5,2,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
6,1e-06,6,4,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
7,1e-06,7,0,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
8,1e-06,8,3,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
9,1e-06,9,2,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
10,1e-06,10,4,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
11,1e-06,11,1,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
12,1e-06,12,3,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
13,1e-06,13,2,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
14,1e-06,14,3,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
15,1e-06,15,5,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
16,1e-06,16,1,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
17,1e-06,17,2,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
18,1e-06,18,2,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
19,1e-06,19,2,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
20,1e-06,20,0,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
21,1e-06,21,3,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
22,1e-06,22,1,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
23,1e-06,23,0,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
24,1e-06,24,2,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
25,1e-06,25,3,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
26,1e-06,26,2,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
27,1e-06,27,3,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
28,1e-06,28,3,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
29,1e-06,29,6,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
30,1e-06,30,1,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
31,1e-06,31,1,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
32,1e-06,32,1,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
33,1e-06,33,1,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
34,1e-06,34,4,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
35,1e-06,35,2,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
36,1e-06,36,2,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
37,1e-06,37,5,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
38,1e-06,38,3,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
39,1e-06,39,1,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
40,1e-06,40,1,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
41,1e-06,41,3,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
42,1e-06,42,2,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
43,1e-06,43,1,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
44,1e-06,44,2,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
45,1e-06,45,1,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
46,1e-06,46,1,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
47,1e-06,47,3,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
48,1e-06,48,2,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
49,1e-06,49,0,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
50,2e-06,50,4,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
51,2e-06,51,1,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
52,2e-06,52,2,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
53,2e-06,53,1,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
54,2e-06,54,5,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
55,2e-06,55,5,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
56,2e-06,56,3,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
57,2e-06,57,2,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
58,2e-06,58,2,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
59,2e-06,59,0,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
60,2e-06,60,2,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
61,2e-06,61,3,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
