,prob_transmission,Run,Number_of_Patients_sick,prob_patient_sick,prob_new_patient,isolation_factor,cleaningDay,isolate_sick,isolation_time,icu_hcw_wash_rate,outside_hcw_wash_rate,height,width
0,1e-07,0,3,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
1,1e-07,1,4,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
2,1e-07,2,3,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
3,1e-07,3,1,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
4,1e-07,4,2,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
5,1e-07,5,3,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
6,1e-07,6,5,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
7,1e-07,7,4,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
8,1e-07,8,1,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
9,1e-07,9,2,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
10,1e-07,10,2,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
11,1e-07,11,0,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
12,1e-07,12,0,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
13,1e-07,13,1,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
14,1e-07,14,1,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
15,1e-07,15,2,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
16,1e-07,16,1,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
17,1e-07,17,3,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
18,1e-07,18,2,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
19,1e-07,19,3,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
20,1e-07,20,2,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
21,1e-07,21,5,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
22,1e-07,22,2,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
23,1e-07,23,2,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
24,1e-07,24,1,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
25,1e-07,25,2,0.01,0.003,0.75,360,True,14,0.9,0.9,11,32
