prob_transmission,,HCW related infections,Cumulative Patients
0.02,0,0,400
0.02,1,0,344
0.02,2,171,333
0.02,3,0,444
0.02,4,0,388
0.02,5,0,393
0.02,6,0,397
0.02,7,0,386
0.02,8,0,412
0.02,9,257,413
0.02,10,0,410
0.02,11,0,384
0.02,12,0,381
0.02,13,0,367
0.02,14,194,390
0.02,15,0,472
0.02,16,0,451
0.02,17,0,500
0.02,18,0,404
0.02,19,144,329
0.02,20,252,399
0.02,21,0,385
0.02,22,163,343
0.02,23,0,414
0.02,24,0,380
0.02,25,0,353
0.02,26,0,423
0.02,27,0,400
0.02,28,0,408
0.02,29,0,438
0.02,30,161,338
0.02,31,178,393
0.02,32,0,440
0.02,33,0,327
0.02,34,0,427
0.02,35,0,410
0.02,36,0,460
0.02,37,0,400
0.02,38,233,413
0.02,39,206,408
0.02,40,268,416
0.02,41,0,337
0.02,42,0,413
0.02,43,0,369
0.02,44,218,413
0.02,45,0,459
0.02,46,0,433
0.02,47,0,345
0.02,48,166,395
0.02,49,0,366
0.03,0,0,373
0.03,1,0,404
0.03,2,0,476
0.03,3,0,351
0.03,4,0,330
0.03,5,241,355
0.03,6,274,426
0.03,7,0,358
0.03,8,0,423
0.03,9,276,391
0.03,10,0,372
0.03,11,272,391
0.03,12,0,365
0.03,13,0,350
0.03,14,1,332
0.03,15,0,393
0.03,16,244,387
0.03,17,0,356
0.03,18,286,396
0.03,19,0,424
0.03,20,0,414
0.03,21,0,314
0.03,22,303,398
0.03,23,268,410
0.03,24,0,398
0.03,25,0,400
0.03,26,272,398
0.03,27,0,358
0.03,28,0,310
0.03,29,215,371
0.03,30,260,386
0.03,31,0,416
0.03,32,235,419
0.03,33,1,328
0.03,34,193,326
0.03,35,0,391
0.03,36,252,391
0.03,37,0,476
0.03,38,0,382
0.03,39,255,424
0.03,40,262,381
0.03,41,222,326
0.03,42,0,439
0.03,43,288,423
0.03,44,281,447
0.03,45,195,346
0.03,46,148,356
0.03,47,0,359
0.03,48,0,405
0.03,49,0,442
