prob_transmission,,HCW related infections,Cumulative Patients
0.02,0,194,444
0.02,1,0,422
0.02,2,0,352
0.02,3,0,346
0.02,4,0,330
0.02,5,197,372
0.02,6,160,398
0.02,7,85,488
0.02,8,0,362
0.02,9,0,441
0.02,10,0,423
0.02,11,0,397
0.02,12,49,383
0.02,13,0,376
0.02,14,0,403
0.02,15,0,356
0.02,16,235,406
0.02,17,235,414
0.02,18,0,340
0.02,19,192,381
0.02,20,0,339
0.02,21,0,359
0.02,22,48,340
0.02,23,0,327
0.02,24,0,419
0.02,25,137,369
0.02,26,69,399
0.02,27,0,408
0.02,28,61,403
0.02,29,182,352
0.02,30,0,426
0.02,31,212,399
0.02,32,164,396
0.02,33,0,373
0.02,34,69,447
0.02,35,2,367
0.02,36,0,366
0.02,37,219,414
0.02,38,57,369
0.02,39,120,377
0.02,40,0,397
0.02,41,62,351
0.02,42,62,324
0.02,43,225,377
0.02,44,216,361
0.02,45,0,400
0.02,46,204,380
0.02,47,260,427
0.02,48,0,392
0.02,49,68,438
0.03,0,48,395
0.03,1,0,350
0.03,2,206,397
0.03,3,0,404
0.03,4,0,337
0.03,5,0,405
0.03,6,0,421
0.03,7,0,406
0.03,8,183,394
0.03,9,82,388
0.03,10,1,393
0.03,11,0,395
0.03,12,0,366
0.03,13,61,358
0.03,14,313,438
0.03,15,196,338
0.03,16,308,460
0.03,17,0,355
0.03,18,61,352
0.03,19,244,413
0.03,20,0,368
0.03,21,235,409
0.03,22,256,433
0.03,23,0,354
0.03,24,0,343
0.03,25,250,408
0.03,26,337,448
0.03,27,0,375
0.03,28,300,418
0.03,29,0,396
0.03,30,0,356
0.03,31,186,345
0.03,32,0,386
0.03,33,274,412
0.03,34,304,450
0.03,35,69,418
0.03,36,184,352
0.03,37,59,281
0.03,38,261,439
0.03,39,89,420
0.03,40,89,390
0.03,41,212,418
0.03,42,0,457
0.03,43,0,363
0.03,44,0,366
0.03,45,79,396
0.03,46,97,437
0.03,47,74,362
0.03,48,161,364
0.03,49,0,352
